**********  emmision probabilities  **********
P(Et | Xt)

P( _ | _ ) = 0.998971 
P( a | _ ) = 5.5e-05 
P( b | _ ) = 5.5e-05 
P( c | _ ) = 5.5e-05 
P( d | _ ) = 5.5e-05 
P( e | _ ) = 5.5e-05 
P( f | _ ) = 5.5e-05 
P( g | _ ) = 5.5e-05 
P( h | _ ) = 5.5e-05 
P( i | _ ) = 5.5e-05 
P( j | _ ) = 5.5e-05 
P( k | _ ) = 5.5e-05 
P( l | _ ) = 5.5e-05 
P( m | _ ) = 5.5e-05 
P( n | _ ) = 5.5e-05 
P( o | _ ) = 5.5e-05 
P( p | _ ) = 5.5e-05 
P( q | _ ) = 5.5e-05 
P( r | _ ) = 5.5e-05 
P( s | _ ) = 5.5e-05 
P( t | _ ) = 5.5e-05 
P( u | _ ) = 5.5e-05 
P( v | _ ) = 5.5e-05 
P( w | _ ) = 5.5e-05 
P( x | _ ) = 5.5e-05 
P( y | _ ) = 5.5e-05 
P( z | _ ) = 5.5e-05 

P( _ | a ) = 0.000151 
P( a | a ) = 0.794631 
P( b | a ) = 0.000151 
P( c | a ) = 0.000151 
P( d | a ) = 0.000151 
P( e | a ) = 0.000151 
P( f | a ) = 0.000151 
P( g | a ) = 0.000151 
P( h | a ) = 0.000151 
P( i | a ) = 0.000151 
P( j | a ) = 0.000151 
P( k | a ) = 0.000151 
P( l | a ) = 0.000151 
P( m | a ) = 0.000151 
P( n | a ) = 0.000151 
P( o | a ) = 0.000151 
P( p | a ) = 0.000151 
P( q | a ) = 0.068221 
P( r | a ) = 0.000151 
P( s | a ) = 0.068826 
P( t | a ) = 0.000151 
P( u | a ) = 0.000151 
P( v | a ) = 0.000151 
P( w | a ) = 0.000151 
P( x | a ) = 0.000151 
P( y | a ) = 0.000151 
P( z | a ) = 0.065799 

P( _ | b ) = 0.000759 
P( a | b ) = 0.000759 
P( b | b ) = 0.798077 
P( c | b ) = 0.000759 
P( d | b ) = 0.000759 
P( e | b ) = 0.000759 
P( f | b ) = 0.000759 
P( g | b ) = 0.046053 
P( h | b ) = 0.043522 
P( i | b ) = 0.000759 
P( j | b ) = 0.000759 
P( k | b ) = 0.000759 
P( l | b ) = 0.000759 
P( m | b ) = 0.000759 
P( n | b ) = 0.053138 
P( o | b ) = 0.000759 
P( p | b ) = 0.000759 
P( q | b ) = 0.000759 
P( r | b ) = 0.000759 
P( s | b ) = 0.000759 
P( t | b ) = 0.000759 
P( u | b ) = 0.000759 
P( v | b ) = 0.047065 
P( w | b ) = 0.000759 
P( x | b ) = 0.000759 
P( y | b ) = 0.000759 
P( z | b ) = 0.000759 

P( _ | c ) = 0.00033 
P( a | c ) = 0.00033 
P( b | c ) = 0.00033 
P( c | c ) = 0.793172 
P( d | c ) = 0.044934 
P( e | c ) = 0.00033 
P( f | c ) = 0.052863 
P( g | c ) = 0.00033 
P( h | c ) = 0.00033 
P( i | c ) = 0.00033 
P( j | c ) = 0.00033 
P( k | c ) = 0.00033 
P( l | c ) = 0.00033 
P( m | c ) = 0.00033 
P( n | c ) = 0.00033 
P( o | c ) = 0.00033 
P( p | c ) = 0.00033 
P( q | c ) = 0.00033 
P( r | c ) = 0.00033 
P( s | c ) = 0.00033 
P( t | c ) = 0.00033 
P( u | c ) = 0.00033 
P( v | c ) = 0.053744 
P( w | c ) = 0.00033 
P( x | c ) = 0.05 
P( y | c ) = 0.00033 
P( z | c ) = 0.00033 

P( _ | d ) = 0.000349 
P( a | d ) = 0.000349 
P( b | d ) = 0.000349 
P( c | d ) = 0.040987 
P( d | d ) = 0.800652 
P( e | d ) = 0.040522 
P( f | d ) = 0.033768 
P( g | d ) = 0.000349 
P( h | d ) = 0.000349 
P( i | d ) = 0.000349 
P( j | d ) = 0.000349 
